,StockCode,Description,UnitPrice,CustomerID,Country,Description_literal,Quantity
0,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2.55,17850.0,United Kingdom,"['WHITE', 'HANGING', 'HEART', 'T-LIGHT', 'HOLDER']",34204
1,71053,WHITE METAL LANTERN,3.39,17850.0,United Kingdom,"['WHITE', 'METAL', 'LANTERN']",1600
2,84406B,CREAM CUPID HEARTS COAT HANGER,2.75,17850.0,United Kingdom,"['CREAM', 'CUPID', 'HEARTS', 'COAT', 'HANGER']",1876
3,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3.39,17850.0,United Kingdom,"['KNITTED', 'UNION', 'FLAG', 'HOT', 'WATER', 'BOTTLE']",2455
4,84029E,RED WOOLLY HOTTIE WHITE HEART.,3.39,17850.0,United Kingdom,"['RED', 'WOOLLY', 'HOTTIE', 'WHITE', 'HEART.']",3688
5,22752,SET 7 BABUSHKA NESTING BOXES,7.65,17850.0,United Kingdom,"['SET', '7', 'BABUSHKA', 'NESTING', 'BOXES']",1530
6,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4.25,17850.0,United Kingdom,"['GLASS', 'STAR', 'FROSTED', 'T-LIGHT', 'HOLDER']",484
7,22633,HAND WARMER UNION JACK,1.85,17850.0,United Kingdom,"['HAND', 'WARMER', 'UNION', 'JACK']",4720
8,22632,HAND WARMER RED POLKA DOT,1.85,17850.0,United Kingdom,"['HAND', 'WARMER', 'RED', 'POLKA', 'DOT']",4377
9,84879,ASSORTED COLOUR BIRD ORNAMENT,1.69,13047.0,United Kingdom,"['ASSORTED', 'COLOUR', 'BIRD', 'ORNAMENT']",35314
10,22745,POPPY'S PLAYHOUSE BEDROOM ,2.1,13047.0,United Kingdom,"[""POPPY'S"", 'PLAYHOUSE', 'BEDROOM', '']",1775
11,22748,POPPY'S PLAYHOUSE KITCHEN,2.1,13047.0,United Kingdom,"[""POPPY'S"", 'PLAYHOUSE', 'KITCHEN']",1882
12,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,3.75,13047.0,United Kingdom,"['FELTCRAFT', 'PRINCESS', 'CHARLOTTE', 'DOLL']",2223
13,22310,IVORY KNITTED MUG COSY ,1.65,13047.0,United Kingdom,"['IVORY', 'KNITTED', 'MUG', 'COSY', '']",531
14,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,4.25,13047.0,United Kingdom,"['BOX', 'OF', '6', 'ASSORTED', 'COLOUR', 'TEASPOONS']",293
15,22623,BOX OF VINTAGE JIGSAW BLOCKS ,4.95,13047.0,United Kingdom,"['BOX', 'OF', 'VINTAGE', 'JIGSAW', 'BLOCKS', '']",904
16,22622,BOX OF VINTAGE ALPHABET BLOCKS,9.95,13047.0,United Kingdom,"['BOX', 'OF', 'VINTAGE', 'ALPHABET', 'BLOCKS']",1282
17,21754,HOME BUILDING BLOCK WORD,5.95,13047.0,United Kingdom,"['HOME', 'BUILDING', 'BLOCK', 'WORD']",2643
18,21755,LOVE BUILDING BLOCK WORD,5.95,13047.0,United Kingdom,"['LOVE', 'BUILDING', 'BLOCK', 'WORD']",1942
19,21777,RECIPE BOX WITH METAL HEART,7.95,13047.0,United Kingdom,"['RECIPE', 'BOX', 'WITH', 'METAL', 'HEART']",2
20,48187,DOORMAT NEW ENGLAND,7.95,13047.0,United Kingdom,"['DOORMAT', 'NEW', 'ENGLAND']",3717
21,22960,JAM MAKING SET WITH JARS,4.25,13047.0,United Kingdom,"['JAM', 'MAKING', 'SET', 'WITH', 'JARS']",7916
22,22913,RED COAT RACK PARIS FASHION,4.95,13047.0,United Kingdom,"['RED', 'COAT', 'RACK', 'PARIS', 'FASHION']",323
23,22912,YELLOW COAT RACK PARIS FASHION,4.95,13047.0,United Kingdom,"['YELLOW', 'COAT', 'RACK', 'PARIS', 'FASHION']",264
24,22914,BLUE COAT RACK PARIS FASHION,4.95,13047.0,United Kingdom,"['BLUE', 'COAT', 'RACK', 'PARIS', 'FASHION']",423
25,21756,BATH BUILDING BLOCK WORD,5.95,13047.0,United Kingdom,"['BATH', 'BUILDING', 'BLOCK', 'WORD']",790
26,22728,ALARM CLOCK BAKELIKE PINK,3.75,12583.0,France,"['ALARM', 'CLOCK', 'BAKELIKE', 'PINK']",5033
27,22727,ALARM CLOCK BAKELIKE RED ,3.75,12583.0,France,"['ALARM', 'CLOCK', 'BAKELIKE', 'RED', '']",7147
28,22726,ALARM CLOCK BAKELIKE GREEN,3.75,12583.0,France,"['ALARM', 'CLOCK', 'BAKELIKE', 'GREEN']",5608
29,21724,PANDA AND BUNNIES STICKER SHEET,0.85,12583.0,France,"['PANDA', 'AND', 'BUNNIES', 'STICKER', 'SHEET']",372
30,21883,STARS GIFT TAPE ,0.65,12583.0,France,"['STARS', 'GIFT', 'TAPE', '']",1367
31,10002,INFLATABLE POLITICAL GLOBE ,0.85,12583.0,France,"['INFLATABLE', 'POLITICAL', 'GLOBE', '']",823
32,21791,VINTAGE HEADS AND TAILS CARD GAME ,1.25,12583.0,France,"['VINTAGE', 'HEADS', 'AND', 'TAILS', 'CARD', 'GAME', '']",7107
33,21035,SET/2 RED RETROSPOT TEA TOWELS ,2.95,12583.0,France,"['SET/2', 'RED', 'RETROSPOT', 'TEA', 'TOWELS', '']",2119
34,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,2.95,12583.0,France,"['ROUND', 'SNACK', 'BOXES', 'SET', 'OF4', 'WOODLAND', '']",8059
35,22629,SPACEBOY LUNCH BOX ,1.95,12583.0,France,"['SPACEBOY', 'LUNCH', 'BOX', '']",13865
36,22659,LUNCH BOX I LOVE LONDON,1.95,12583.0,France,"['LUNCH', 'BOX', 'I', 'LOVE', 'LONDON']",10772
37,22631,CIRCUS PARADE LUNCH BOX ,1.95,12583.0,France,"['CIRCUS', 'PARADE', 'LUNCH', 'BOX', '']",3342
38,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,0.85,12583.0,France,"['CHARLOTTE', 'BAG', 'DOLLY', 'GIRL', 'DESIGN']",5072
39,21731,RED TOADSTOOL LED NIGHT LIGHT,1.65,12583.0,France,"['RED', 'TOADSTOOL', 'LED', 'NIGHT', 'LIGHT']",12697
40,22900, SET 2 TEA TOWELS I LOVE LONDON ,2.95,12583.0,France,"['', 'SET', '2', 'TEA', 'TOWELS', 'I', 'LOVE', 'LONDON', '']",4364
41,21913,VINTAGE SEASIDE JIGSAW PUZZLES,3.75,12583.0,France,"['VINTAGE', 'SEASIDE', 'JIGSAW', 'PUZZLES']",302
42,22540,MINI JIGSAW CIRCUS PARADE ,0.42,12583.0,France,"['MINI', 'JIGSAW', 'CIRCUS', 'PARADE', '']",2450
43,22544,MINI JIGSAW SPACEBOY,0.42,12583.0,France,"['MINI', 'JIGSAW', 'SPACEBOY']",4371
44,22492,MINI PAINT SET VINTAGE ,0.65,12583.0,France,"['MINI', 'PAINT', 'SET', 'VINTAGE', '']",25880
45,POST,POSTAGE,18.0,12583.0,France,['POSTAGE'],3002
46,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,2.55,13748.0,United Kingdom,"['PAPER', 'CHAIN', 'KIT', ""50'S"", 'CHRISTMAS', '']",15164
47,20679,EDWARDIAN PARASOL RED,4.95,17850.0,United Kingdom,"['EDWARDIAN', 'PARASOL', 'RED']",1621
48,37370,RETRO COFFEE MUGS ASSORTED,1.06,17850.0,United Kingdom,"['RETRO', 'COFFEE', 'MUGS', 'ASSORTED']",2485
49,21871,SAVE THE PLANET MUG,1.06,17850.0,United Kingdom,"['SAVE', 'THE', 'PLANET', 'MUG']",4592
